seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,barometer_relativeAltitude,barometer_pressure,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
3.4,-0.661926389,2.549668312,-0.747521877,-0.394001454,8.466005325,4.932345867,0.587575555,-0.077503473,-0.044287696,0.486404806,0.179799736,0.699027479,0.492687196,-1.651371479,-1.041756749,-2.670338631,0.893188477,880.7973022,-0.681954443,11.89472103,4.856233597,0.590095401,-0.080634154,-0.059864748,-0.954736233,11.41615677,4.431507587
3.5,1.207528472,5.102198601,-0.515060425,-0.059058625,8.553160667,4.918715477,-0.545884013,-0.418366015,-0.680197954,0.484560758,0.16680868,0.692394674,0.517795742,-1.583107591,-1.045143008,-2.562177181,0.166503906,880.9078979,0.811166883,13.73121262,4.210171223,-0.543364227,-0.421496689,-0.695774972,0.95952189,13.32921886,4.155136585
3.6,3.540637732,-0.723650932,-2.264790058,0.342042327,8.950019836,3.993813038,-0.854981601,0.388280928,-0.356745034,0.450855643,0.177028239,0.671730399,0.560507357,-1.485361934,-1.149716496,-2.427875042,-0.866577148,880.9860229,3.882354736,8.324629784,1.725225091,-0.852461815,0.385150254,-0.372322083,3.547359467,8.334200859,1.886740685
3.7,-0.492866933,-1.484895706,-2.403268337,0.661416292,9.25342083,3.179171324,-0.937142909,-0.879568934,-0.432492256,0.424470931,0.194637448,0.655429304,0.594598413,-1.365675688,-1.233298779,-2.285978317,-0.951171875,881.0006714,0.299102843,7.714460373,1.481157184,-0.934623122,-0.882699609,-0.448069304,0.200997099,7.442874908,1.112662554
3.8,-0.519881546,-3.467356682,0.826125622,0.761318862,9.506863594,2.282615423,-0.993647933,-0.814206421,-0.50915581,0.35608986,0.181692496,0.654348075,0.641885102,-1.248869658,-1.322898149,-2.035406828,-0.750366211,880.9733276,0.257228434,5.942574978,3.206382275,-0.991128087,-0.817337096,-0.524732828,0.251246363,5.730810165,3.169293642
3.9,-0.509086132,-0.522217751,1.194834113,1.038610101,9.640400887,1.580854297,-0.676914513,-0.141033411,-0.125838146,0.322731376,0.19211483,0.641911626,0.671977341,-0.95497936,-1.377542496,-1.696991086,-0.631469727,880.9813843,0.508474827,8.933603287,2.634497643,-0.674394727,-0.144164085,-0.141415194,0.55154562,9.187242508,2.665604353
4,0.339305758,2.561038017,1.340632915,1.05297339,9.696628571,1.018340468,-0.493349671,-0.365526199,-0.027488915,0.292772144,0.197269469,0.638447583,0.684084177,-0.76867944,-1.420862198,-1.478460431,-1.582641602,881.0626831,1.379462242,12.10528946,2.438286304,-0.490829855,-0.368656904,-0.043065965,1.483550072,12.32782269,1.966900229
4.1,1.417196274,4.042807579,0.260655105,0.806165636,9.743853569,0.798355937,0.109573871,1.248073101,0.508239508,0.293804735,0.221446708,0.639770806,0.674375117,-0.756019294,-1.457568288,-1.503118396,-2.153442383,881.178894,2.222932339,13.75274849,1.018146038,0.112093687,1.244942427,0.49266243,2.457428932,12.49412346,0.047856454
4.2,-0.029926956,0.062784195,-1.491222143,0.452831924,9.713581085,1.269513845,1.008461356,0.779539824,0.625830948,0.33563289,0.239600271,0.648097336,0.640654802,-1.228167415,-1.432916522,-2.066369057,-0.710693359,880.9691772,0.394815743,9.43489933,0.288335115,1.010981202,0.776409149,0.61025393,0.336191595,9.541379929,0.147158593
4.3,0.001201466,-3.248236656,-1.992194653,0.015909977,9.562854767,2.399334192,1.233870506,0.218460515,0.38637197,0.38819015,0.239096612,0.669130087,0.596306205,-1.563474894,-1.323585033,-2.477545977,1.223388672,880.8168335,-0.009571291,5.484349728,0.222532511,1.236390352,0.215329841,0.370794922,-0.004785645,5.815755367,0.333798766
4.4,-0.611471057,-1.537826061,-1.633142948,-0.259201854,9.010133743,3.862729073,1.721951485,-0.006948587,0.232434049,0.430167228,0.183717355,0.692433059,0.549309134,-1.637799144,-1.164973617,-2.556071997,1.503540039,880.7316284,-0.813559711,7.317251682,2.163111687,1.724471331,-0.010079269,0.216857001,-0.972682416,7.678567886,2.488535643
4.5,-0.019327044,3.376304626,-0.10545969,-0.35104984,8.414978027,5.02347374,0.883234084,0.786259353,0.080634154,0.468459994,0.144633576,0.704722583,0.51249063,-1.640564799,-1.031536341,-2.570790052,1.170532227,880.81073,-0.318245411,11.65184975,4.767699242,0.88575393,0.783128619,0.065057099,-0.345762879,11.42094231,4.637290478
4.6,1.273249984,5.579131126,-1.837779522,-0.083324321,8.387523651,5.234329224,-0.651869059,-1.056719661,-0.036346454,0.48742643,0.144415185,0.699262142,0.51630652,-1.586713672,-1.007683754,-2.541631937,-0.161132813,880.9100952,0.995414197,13.75274849,3.029313564,-0.649349272,-1.059850335,-0.051923506,2.817548752,13.90110302,2.930011272
